x,y,type,walkable,description
0,0,sidewalk,true,"Sidewalk with a bike rack and a bench."
1,0,sidewalk,true,"Sidewalk with a bike rack and a bench."
2,0,sidewalk,true,"You are on a busy sidewalk in front of a shop."
4,0,sidewalk,true,"A quiet sidewalk lined with trees."
5,0,sidewalk,true,"You are on a busy sidewalk in front of a shop."
6,0,sidewalk,true,"A quiet sidewalk lined with trees."
8,0,sidewalk,true,"You are on a busy sidewalk in front of a shop."
9,0,sidewalk,true,"Sidewalk with a bike rack and a bench."
10,0,sidewalk,true,"Sidewalk with a newspaper stand."
12,0,sidewalk,true,"Sidewalk with a newspaper stand."
0,1,sidewalk,true,"Sidewalk outside a bustling cafe."
1,1,building,false,"A quiet office space with large windows."
2,1,sidewalk,true,"You are on a busy sidewalk in front of a shop."
4,1,sidewalk,true,"You are on a busy sidewalk in front of a shop."
5,1,building,false,"A lively coffee shop with people chatting."
6,1,sidewalk,true,"Sidewalk with a bike rack and a bench."
8,1,sidewalk,true,"Sidewalk with a bike rack and a bench."
9,1,building,false,"You are inside a bustling apartment building."
10,1,sidewalk,true,"A quiet sidewalk lined with trees."
12,1,sidewalk,true,"A quiet sidewalk lined with trees."
0,2,sidewalk,true,"You are on a busy sidewalk in front of a shop."
1,2,sidewalk,true,"Sidewalk with a newspaper stand."
2,2,sidewalk,true,"Sidewalk with a bike rack and a bench."
4,2,sidewalk,true,"You are on a busy sidewalk in front of a shop."
5,2,sidewalk,true,"Sidewalk outside a bustling cafe."
6,2,sidewalk,true,"You are on a busy sidewalk in front of a shop."
8,2,sidewalk,true,"Sidewalk outside a bustling cafe."
9,2,sidewalk,true,"A quiet sidewalk lined with trees."
10,2,sidewalk,true,"A quiet sidewalk lined with trees."
12,2,sidewalk,true,"Sidewalk outside a bustling cafe."
0,4,sidewalk,true,"Sidewalk with a bike rack and a bench."
1,4,sidewalk,true,"Sidewalk with a newspaper stand."
2,4,sidewalk,true,"A quiet sidewalk lined with trees."
4,4,sidewalk,true,"Sidewalk with a bike rack and a bench."
