x,y,biome,description
0,0,"Residential","Front yard of a quaint bungalow, with a white picket fence enclosing a patch of vibrant marigolds and daisies. A small stone pathway leads to the weathered wooden door, flanked by two hanging flower pots spilling over with petunias."
0,1,"Residential","Sidewalk adjacent to a tidy apartment complex, where the scent of freshly cut grass wafts from a nearby lawn. A couple of children are playing hopscotch on the pavement, while an elderly man sits on a bench, feeding crumbs to a gathering of pigeons."
0,2,"Residential","Narrow alleyway between two residential buildings, lined with colorful graffiti and overgrown ivy creeping up the walls. A rusty bicycle leans against a chain-link fence, the tires flat but still a hint of charm in its faded paint."
0,3,"Residential","Back of a residential house with a small patio, a grill sits unused in one corner. Plastic lawn chairs are scattered casually around a small table, and a few wind chimes sway gently in the breeze, creating a soft tinkling sound."
0,4,"Residential","Front garden of a mid-century home showcasing an array of succulents and cacti in decorative pots. A stone path leads up to the porch, where a brightly painted welcome sign hangs to greet visitors. The sound of laughter from nearby children can be heard."
0,5,"Residential","Side yard of a two-story house, featuring a weathered wooden shed overflowing with garden tools. A small blueberry bush bears fruit, and an old tire swing hangs from a sturdy oak tree, swaying lightly in the soft afternoon breeze."
0,6,"Residential","Narrow strip of grass between two homes, bordered by blooming lilac bushes. A small dog runs back and forth, barking playfully at a fluttering butterfly. The distant sound of traffic is softened by chirping birds from the nearby trees."
0,7,"Residential","End of a block featuring a small community playground, with brightly colored swings and a slide. A cheerful mural on the adjacent wall depicts children playing, while a picnic table sits under a shady tree, inviting families to gather."
0,8,"Commercial","Facade of a local coffee shop, with outdoor seating on a small patio. Potted herbs line the entryway, and a chalkboard sign lists daily specials. The aroma of freshly brewed coffee drifts through the air as customers chat over steaming mugs."
0,9,"Commercial","Entrance to a small boutique, showcasing handmade crafts and local art. A colorful banner flutters in the breeze, while a friendly shopkeeper arranges items in the window. A bicycle parked outside leans against the building, its basket filled with flowers."
0,10,"Commercial","Front of a corner market, with a variety of fresh produce displayed outside. A small awning provides shelter from the sun, and a hand-painted sign advertises the day's specials. The sounds of negotiation between shoppers fill the air."
