x,y,type,walkable,description
0,0,sidewalk,true,"Sidewalk with a bike rack and a bench."
1,0,sidewalk,true,"Sidewalk with a newspaper stand."
2,0,sidewalk,true,"Sidewalk outside a bustling cafe."
4,0,sidewalk,true,"A quiet sidewalk lined with trees."
5,0,sidewalk,true,"Sidewalk with a newspaper stand."
6,0,sidewalk,true,"Sidewalk with a bike rack and a bench."
8,0,sidewalk,true,"Sidewalk outside a bustling cafe."
9,0,sidewalk,true,"Sidewalk with a newspaper stand."
10,0,sidewalk,true,"A quiet sidewalk lined with trees."
12,0,sidewalk,true,"Sidewalk with a newspaper stand."
0,1,sidewalk,true,"Sidewalk with a bike rack and a bench."
1,1,building,false,"A small grocery store packed with goods."
2,1,sidewalk,true,"Sidewalk with a bike rack and a bench."
4,1,sidewalk,true,"A quiet sidewalk lined with trees."
5,1,building,false,"A lively coffee shop with people chatting."
6,1,sidewalk,true,"Sidewalk with a bike rack and a bench."
8,1,sidewalk,true,"Sidewalk outside a bustling cafe."
9,1,building,false,"You are inside a bustling apartment building."
10,1,sidewalk,true,"Sidewalk with a newspaper stand."
12,1,sidewalk,true,"Sidewalk with a newspaper stand."
0,2,sidewalk,true,"A quiet sidewalk lined with trees."
1,2,sidewalk,true,"Sidewalk outside a bustling cafe."
2,2,sidewalk,true,"Sidewalk with a newspaper stand."
4,2,sidewalk,true,"You are on a busy sidewalk in front of a shop."
5,2,sidewalk,true,"Sidewalk with a bike rack and a bench."
6,2,sidewalk,true,"Sidewalk with a newspaper stand."
8,2,sidewalk,true,"A quiet sidewalk lined with trees."
9,2,sidewalk,true,"Sidewalk with a newspaper stand."
10,2,sidewalk,true,"A quiet sidewalk lined with trees."
12,2,sidewalk,true,"Sidewalk with a bike rack and a bench."
0,4,sidewalk,true,"Sidewalk with a bike rack and a bench."
1,4,sidewalk,true,"You are on a busy sidewalk in front of a shop."
2,4,sidewalk,true,"You are on a busy sidewalk in front of a shop."
4,4,sidewalk,true,"Sidewalk with a newspaper stand."
5,4,sidewalk,true,"You are on a busy sidewalk in front of a shop."
6,4,sidewalk,true,"A quiet sidewalk lined with trees."
8,4,sidewalk,true,"A quiet sidewalk lined with trees."
9,4,sidewalk,true,"Sidewalk with a bike rack and a bench."
10,4,sidewalk,true,"Sidewalk with a bike rack and a bench."
12,4,sidewalk,true,"A quiet sidewalk lined with trees."
0,5,sidewalk,true,"You are on a busy sidewalk in front of a shop."
1,5,building,false,"A lively coffee shop with people chatting."
2,5,sidewalk,true,"Sidewalk outside a bustling cafe."
4,5,sidewalk,true,"Sidewalk with a bike rack and a bench."
5,5,building,false,"A small grocery store packed with goods."
6,5,sidewalk,true,"A quiet sidewalk lined with trees."
8,5,sidewalk,true,"Sidewalk with a bike rack and a bench."
9,5,building,false,"A small grocery store packed with goods."
10,5,sidewalk,true,"Sidewalk outside a bustling cafe."
12,5,sidewalk,true,"Sidewalk with a newspaper stand."
0,6,sidewalk,true,"You are on a busy sidewalk in front of a shop."
1,6,sidewalk,true,"Sidewalk with a bike rack and a bench."
2,6,sidewalk,true,"Sidewalk outside a bustling cafe."
4,6,sidewalk,true,"A quiet sidewalk lined with trees."
5,6,sidewalk,true,"Sidewalk with a bike rack and a bench."
6,6,sidewalk,true,"Sidewalk with a bike rack and a bench."
8,6,sidewalk,true,"Sidewalk outside a bustling cafe."
9,6,sidewalk,true,"Sidewalk with a bike rack and a bench."
10,6,sidewalk,true,"Sidewalk with a newspaper stand."
12,6,sidewalk,true,"Sidewalk with a bike rack and a bench."
0,8,sidewalk,true,"You are on a busy sidewalk in front of a shop."
1,8,sidewalk,true,"You are on a busy sidewalk in front of a shop."
2,8,sidewalk,true,"You are on a busy sidewalk in front of a shop."
4,8,sidewalk,true,"A quiet sidewalk lined with trees."
5,8,sidewalk,true,"Sidewalk with a newspaper stand."
6,8,sidewalk,true,"Sidewalk with a newspaper stand."
8,8,sidewalk,true,"Sidewalk outside a bustling cafe."
9,8,sidewalk,true,"Sidewalk with a bike rack and a bench."
10,8,sidewalk,true,"Sidewalk with a bike rack and a bench."
12,8,sidewalk,true,"Sidewalk with a newspaper stand."
0,9,sidewalk,true,"You are on a busy sidewalk in front of a shop."
1,9,building,false,"You are inside a bustling apartment building."
2,9,sidewalk,true,"Sidewalk with a bike rack and a bench."
4,9,sidewalk,true,"Sidewalk with a newspaper stand."
5,9,building,false,"A small grocery store packed with goods."
6,9,sidewalk,true,"Sidewalk outside a bustling cafe."
8,9,sidewalk,true,"You are on a busy sidewalk in front of a shop."
9,9,building,false,"A cozy bakery with the smell of fresh bread."
10,9,sidewalk,true,"Sidewalk outside a bustling cafe."
12,9,sidewalk,true,"A quiet sidewalk lined with trees."
0,10,sidewalk,true,"Sidewalk with a newspaper stand."
1,10,sidewalk,true,"Sidewalk with a bike rack and a bench."
2,10,sidewalk,true,"You are on a busy sidewalk in front of a shop."
4,10,sidewalk,true,"A quiet sidewalk lined with trees."
5,10,sidewalk,true,"Sidewalk outside a bustling cafe."
6,10,sidewalk,true,"Sidewalk with a newspaper stand."
8,10,sidewalk,true,"Sidewalk with a newspaper stand."
9,10,sidewalk,true,"Sidewalk with a bike rack and a bench."
10,10,sidewalk,true,"Sidewalk outside a bustling cafe."
12,10,sidewalk,true,"You are on a busy sidewalk in front of a shop."
0,12,sidewalk,true,"Sidewalk outside a bustling cafe."
1,12,sidewalk,true,"You are on a busy sidewalk in front of a shop."
2,12,sidewalk,true,"Sidewalk outside a bustling cafe."
4,12,sidewalk,true,"A quiet sidewalk lined with trees."
5,12,sidewalk,true,"Sidewalk outside a bustling cafe."
6,12,sidewalk,true,"Sidewalk with a bike rack and a bench."
8,12,sidewalk,true,"Sidewalk outside a bustling cafe."
9,12,sidewalk,true,"A quiet sidewalk lined with trees."
10,12,sidewalk,true,"A quiet sidewalk lined with trees."
12,12,sidewalk,true,"Sidewalk with a newspaper stand."
