x,y,biome,description
0,0,"Residential","Front yard of a small house, with a white picket fence, vibrant marigolds lining the pathway, and a bicycle leaning against the porch."
0,1,"Residential","Side garden of a similar house, with a small vegetable patch featuring green beans and zucchini, a wooden trellis covered in climbing roses."
0,2,"Residential","Adjacent front yard, a stone birdbath stands in the center, surrounded by colorful tulips and a cheerful wind chime hanging from the porch."
0,3,"Residential","Narrow driveway along the side of the house, a rusty mailbox stands at the end, and children’s toys scattered on the lawn."
0,4,"Residential","Small front yard with a manicured lawn, a wooden swing hangs from a sturdy oak tree, and a playful dog runs in the grass."
0,5,"Residential","A cozy porch with potted ferns and a couple of rocking chairs, the smell of fresh cookies wafting out from the open kitchen window."
0,6,"Residential","Backyard space with a wooden fence, a small garden shed painted bright red, and a compost bin nestled in one corner."
0,7,"Residential","Compact green lawn framed by flower beds, a hammock strung between two trees, with a few children’s books left on the grass."
0,8,"Residential","Front section of a house, with a brick pathway leading to the front door, a welcome mat, and decorative pumpkins sitting on the steps."
0,9,"Commercial","Facade of a small shop with a colorful awning, a display window filled with handmade crafts, and a 'Closed' sign hanging on the door."
0,10,"Commercial","Entrance of a quaint café, outdoor seating with small tables and potted plants, the scent of freshly brewed coffee wafting through the air."
0,11,"Commercial","Corner office building with large glass windows reflecting the sky, a bike rack filled with colorful bikes parked outside."
1,0,"Residential","Charming front yard with a well-maintained lawn, a stone pathway leading to the front door, and a swing set in the corner."
1,1,"Residential","Lush backyard with a small vegetable garden brimming with carrots and herbs, a wooden fence adorned with climbing ivy."
1,2,"Residential","Front entry of a house with a cobblestone path, a decorative lantern on the porch, and a cheerful doormat that reads 'Home Sweet Home.'"
1,3,"Residential","Side yard featuring a butterfly garden with colorful blossoms, a small fountain bubbling in the corner, and a cat lounging on the grass."
1,4,"Residential","Simple front yard with patchy grass, a couple of lawn chairs facing the street, and a friendly dog barking at passersby."
1,5,"Residential","Neat backyard with a picnic table under a shaded tree, a grill set up for weekend barbecues, and string lights illuminating the area."
1,6,"Residential","Well-kept front garden with sunflowers reaching for the sky, a small koi pond glistening with water lilies, and a wooden bench."
1,7,"Residential","Backyard with a small fire pit surrounded by stones, colorful chairs set up for evenings with friends, and the distant sound of laughter."
