x,y,biome,description
0,0,"Residential","Front yard of a quaint, two-story house with a white picket fence, colorful flower beds lining the path, and a swing hanging from a sturdy oak tree."
0,1,"Residential","Sidewalk leading up to the porch of a cozy brick house, with a small welcome mat at the door and a bicycle propped against the railing."
0,2,"Residential","Back of the house featuring a wooden deck with a barbecue grill, patio furniture, and string lights hung above, creating a charming outdoor space."
0,3,"Residential","Narrow alley between two houses, with a trash bin on one side and a small garden with herbs and vegetables flourishing on the other."
0,4,"Residential","Driveway of a larger home, with a parked car and a basketball hoop attached to the garage, showcasing signs of family life and activity."
0,5,"Residential","Another front yard, distinct for its manicured lawn, a garden gnome peeking out from behind the tulips, and a stone path leading to the door."
0,6,"Residential","Corner of a property featuring an ornamental tree, surrounded by a low hedge, with a mailbox decorated with seasonal flowers."
0,7,"Residential","Side entrance of a house adorned with climbing ivy and a small porch light casting a warm glow at dusk, offering a welcoming feel."
0,8,"Residential","Backyard view of a small swimming pool, with lounge chairs and a shaded area under an umbrella, perfect for summer gatherings."
0,9,"Residential","Boundary of a property marked by a wrought-iron fence, with children’s toys scattered in the grass and a treehouse visible in the distance."
1,0,"Residential","Front yard of a neighboring small house, featuring a well-kept lawn and a bird feeder hanging from a tree, attracting chirping sparrows."
1,1,"Residential","Pathway leading to the entrance of a charming bungalow, lined with potted plants and colorful stepping stones, inviting visitors in."
1,2,"Residential","Area behind a house filled with a vegetable patch, trellises supporting climbing peas, and a compost bin tucked in the corner."
1,3,"Residential","Narrow passageway alongside two homes, with bicycles leaning against the walls and the sun filtering through the overhanging branches."
1,4,"Residential","Driveway of a neighboring house, featuring colorful flower pots and a welcome sign beside a neatly parked car."
1,5,"Residential","Side view of a house with a small porch and a well-maintained herb garden; the scents of basil and mint waft through the air."
1,6,"Residential","Alleyway lined with trash bins, plants spilling over the side of a fence, and the distant sound of laughter from children playing nearby."
1,7,"Residential","Yard area with a small pond, goldfish swimming lazily, surrounded by stones and wildflowers blooming in vibrant colors."
1,8,"Residential","Backyard with a picnic table under a canopy of trees, a grill ready for an afternoon barbecue, and a hammock gently swaying in the breeze."
1,9,"Residential","Shared fence boundary with intertwining vines and a small gate, leading to a friendly neighbor’s garden visible through the slats."
2,0,"Residential","Corner lot featuring a vibrant garden with birdbaths and a small wooden bench for resting, providing a peaceful retreat."
2,1,"Residential","Pathway decorated with solar lights leading to the entrance of a house, with freshly painted shutters and perennial flowers in bloom."
2,2,"Residential","Backyard corner filled with a playset for children, swings and slides surrounded by bright multicolored mulch, echoing with joyful sounds."
2,3,"Residential","Narrow passage near the back of a house, cluttered with gardening tools, a small shed, and patches of wildflowers bursting through the fence."
2,4,"Residential","Driveway leading up to a garage, with a basketball hoop nearby and a few scattered toys, showcasing the lively spirit of a family home."
2,5,"Residential","Small front yard adorned with an array of potted plants, their vibrant blooms creating a burst of color; a white picket fence encircles the area, and a curious cat lounges on the porch, watching passersby."
2,6,"Residential","Side garden featuring a trellis covered in climbing vines; a small stone path leads to the back, where a few garden gnomes stand watch over a patch of blooming marigolds."
2,7,"Residential","Corner of a backyard with a wooden deck, complete with a weathered picnic table and a grill; the sweet scent of grilled vegetables wafts through the air, mingling with the sounds of laughter from nearby children."
2,8,"Residential","Quiet space in the back of a house, where a small fire pit is surrounded by rustic benches; twinkling fairy lights hang from above, casting a warm glow as dusk begins to settle."
2,9,"Residential","Narrow pathway bordered by flowering shrubs that lead to a side entrance; a wind chime hangs near the door, tinkling softly in the gentle breeze as the sun begins to set."
3,0,"Residential","Entrance area featuring a charming porch swing, draped with colorful cushions; a small welcome mat lies beneath, and the soft sound of a nearby fountain adds a tranquil ambiance."
3,1,"Residential","Lush front yard with a small koi pond, the water lilies floating serenely on the surface; the gentle sound of splashing water creates a peaceful retreat from the surrounding bustle."
3,2,"Residential","Family-friendly garden space featuring a sandbox in the corner, with colorful buckets and shovels scattered around; the bright colors of blooming tulips provide a cheerful backdrop."
3,3,"Residential","A side yard with tall sunflowers swaying gently in the breeze, interspersed with patches of wild daisies; a small gate leads to a neighboring plot, partially hidden by the greenery."
3,4,"Residential","Back corner of a property with a wooden shed painted a faded blue; tools and bicycles lean against the wall, and the ground is covered with a carpet of fallen leaves, whispering secrets of autumn."
