x,y,type,walkable,description
0,0,sidewalk,true,"A quiet sidewalk lined with trees."
1,0,sidewalk,true,"Sidewalk outside a bustling cafe."
2,0,sidewalk,true,"Sidewalk with a bike rack and a bench."
3,0,sidewalk,true,"Sidewalk outside a bustling cafe."
4,0,sidewalk,true,"A quiet sidewalk lined with trees."
5,0,sidewalk,true,"Sidewalk with a newspaper stand."
6,0,sidewalk,true,"You are on a busy sidewalk in front of a shop."
7,0,sidewalk,true,"You are on a busy sidewalk in front of a shop."
8,0,sidewalk,true,"Sidewalk with a newspaper stand."
9,0,sidewalk,true,"Sidewalk with a bike rack and a bench."
10,0,sidewalk,true,"You are on a busy sidewalk in front of a shop."
11,0,sidewalk,true,"Sidewalk outside a bustling cafe."
12,0,sidewalk,true,"A quiet sidewalk lined with trees."
0,1,sidewalk,true,"You are on a busy sidewalk in front of a shop."
1,1,building,true,"A quiet office space with large windows."
2,1,sidewalk,true,"Sidewalk with a bike rack and a bench."
3,1,sidewalk,true,"Sidewalk with a newspaper stand."
4,1,building,true,"A cozy bakery with the smell of fresh bread."
5,1,sidewalk,true,"You are on a busy sidewalk in front of a shop."
6,1,sidewalk,true,"You are on a busy sidewalk in front of a shop."
7,1,building,true,"A small grocery store packed with goods."
8,1,sidewalk,true,"Sidewalk outside a bustling cafe."
9,1,sidewalk,true,"Sidewalk with a bike rack and a bench."
10,1,building,true,"You are inside a bustling apartment building."
11,1,sidewalk,true,"Sidewalk outside a bustling cafe."
12,1,sidewalk,true,"A quiet sidewalk lined with trees."
0,2,sidewalk,true,"You are on a busy sidewalk in front of a shop."
1,2,sidewalk,true,"You are on a busy sidewalk in front of a shop."
2,2,sidewalk,true,"Sidewalk outside a bustling cafe."
3,2,sidewalk,true,"You are on a busy sidewalk in front of a shop."
4,2,sidewalk,true,"Sidewalk outside a bustling cafe."
5,2,sidewalk,true,"Sidewalk outside a bustling cafe."
6,2,sidewalk,true,"You are on a busy sidewalk in front of a shop."
7,2,sidewalk,true,"Sidewalk outside a bustling cafe."
8,2,sidewalk,true,"A quiet sidewalk lined with trees."
9,2,sidewalk,true,"Sidewalk with a newspaper stand."
10,2,sidewalk,true,"A quiet sidewalk lined with trees."
11,2,sidewalk,true,"A quiet sidewalk lined with trees."
12,2,sidewalk,true,"Sidewalk with a bike rack and a bench."
0,3,sidewalk,true,"Sidewalk with a bike rack and a bench."
1,3,sidewalk,true,"Sidewalk with a bike rack and a bench."
2,3,sidewalk,true,"You are on a busy sidewalk in front of a shop."
3,3,sidewalk,true,"Sidewalk outside a bustling cafe."
4,3,sidewalk,true,"Sidewalk with a newspaper stand."
5,3,sidewalk,true,"Sidewalk with a newspaper stand."
6,3,sidewalk,true,"A quiet sidewalk lined with trees."
7,3,sidewalk,true,"A quiet sidewalk lined with trees."
8,3,sidewalk,true,"You are on a busy sidewalk in front of a shop."
9,3,sidewalk,true,"Sidewalk outside a bustling cafe."
10,3,sidewalk,true,"You are on a busy sidewalk in front of a shop."
11,3,sidewalk,true,"Sidewalk with a newspaper stand."
12,3,sidewalk,true,"Sidewalk with a bike rack and a bench."
0,4,sidewalk,true,"You are on a busy sidewalk in front of a shop."
1,4,building,true,"You are inside a bustling apartment building."
2,4,sidewalk,true,"A quiet sidewalk lined with trees."
3,4,sidewalk,true,"Sidewalk with a bike rack and a bench."
4,4,building,true,"A cozy bakery with the smell of fresh bread."
5,4,sidewalk,true,"Sidewalk with a newspaper stand."
6,4,sidewalk,true,"Sidewalk with a newspaper stand."
7,4,building,true,"A lively coffee shop with people chatting."
8,4,sidewalk,true,"Sidewalk outside a bustling cafe."
9,4,sidewalk,true,"Sidewalk with a bike rack and a bench."
10,4,building,true,"A small grocery store packed with goods."
11,4,sidewalk,true,"Sidewalk outside a bustling cafe."
12,4,sidewalk,true,"Sidewalk outside a bustling cafe."
0,5,sidewalk,true,"A quiet sidewalk lined with trees."
1,5,sidewalk,true,"A quiet sidewalk lined with trees."
2,5,sidewalk,true,"Sidewalk with a newspaper stand."
3,5,sidewalk,true,"Sidewalk with a bike rack and a bench."
4,5,sidewalk,true,"A quiet sidewalk lined with trees."
5,5,sidewalk,true,"Sidewalk with a bike rack and a bench."
6,5,sidewalk,true,"You are on a busy sidewalk in front of a shop."
7,5,sidewalk,true,"A quiet sidewalk lined with trees."
8,5,sidewalk,true,"Sidewalk with a newspaper stand."
9,5,sidewalk,true,"Sidewalk with a newspaper stand."
10,5,sidewalk,true,"Sidewalk with a newspaper stand."
11,5,sidewalk,true,"You are on a busy sidewalk in front of a shop."
12,5,sidewalk,true,"A quiet sidewalk lined with trees."
0,6,sidewalk,true,"A quiet sidewalk lined with trees."
1,6,sidewalk,true,"Sidewalk with a newspaper stand."
2,6,sidewalk,true,"Sidewalk with a bike rack and a bench."
3,6,sidewalk,true,"Sidewalk with a newspaper stand."
4,6,sidewalk,true,"Sidewalk with a bike rack and a bench."
5,6,sidewalk,true,"Sidewalk with a bike rack and a bench."
6,6,sidewalk,true,"A quiet sidewalk lined with trees."
7,6,sidewalk,true,"A quiet sidewalk lined with trees."
8,6,sidewalk,true,"You are on a busy sidewalk in front of a shop."
9,6,sidewalk,true,"Sidewalk with a bike rack and a bench."
10,6,sidewalk,true,"A quiet sidewalk lined with trees."
11,6,sidewalk,true,"Sidewalk with a newspaper stand."
12,6,sidewalk,true,"Sidewalk with a bike rack and a bench."
0,7,sidewalk,true,"You are on a busy sidewalk in front of a shop."
1,7,building,true,"A small grocery store packed with goods."
2,7,sidewalk,true,"You are on a busy sidewalk in front of a shop."
3,7,sidewalk,true,"Sidewalk with a newspaper stand."
4,7,building,true,"A quiet office space with large windows."
5,7,sidewalk,true,"You are on a busy sidewalk in front of a shop."
6,7,sidewalk,true,"Sidewalk with a newspaper stand."
7,7,building,true,"You are inside a bustling apartment building."
8,7,sidewalk,true,"You are on a busy sidewalk in front of a shop."
9,7,sidewalk,true,"You are on a busy sidewalk in front of a shop."
10,7,building,true,"You are inside a bustling apartment building."
11,7,sidewalk,true,"A quiet sidewalk lined with trees."
12,7,sidewalk,true,"You are on a busy sidewalk in front of a shop."
0,8,sidewalk,true,"A quiet sidewalk lined with trees."
1,8,sidewalk,true,"A quiet sidewalk lined with trees."
2,8,sidewalk,true,"Sidewalk with a newspaper stand."
3,8,sidewalk,true,"A quiet sidewalk lined with trees."
4,8,sidewalk,true,"A quiet sidewalk lined with trees."
5,8,sidewalk,true,"Sidewalk outside a bustling cafe."
6,8,sidewalk,true,"You are on a busy sidewalk in front of a shop."
7,8,sidewalk,true,"You are on a busy sidewalk in front of a shop."
8,8,sidewalk,true,"Sidewalk with a newspaper stand."
9,8,sidewalk,true,"Sidewalk with a newspaper stand."
10,8,sidewalk,true,"A quiet sidewalk lined with trees."
11,8,sidewalk,true,"You are on a busy sidewalk in front of a shop."
12,8,sidewalk,true,"Sidewalk with a newspaper stand."
0,9,sidewalk,true,"You are on a busy sidewalk in front of a shop."
1,9,sidewalk,true,"Sidewalk with a newspaper stand."
2,9,sidewalk,true,"Sidewalk outside a bustling cafe."
3,9,sidewalk,true,"Sidewalk with a newspaper stand."
4,9,sidewalk,true,"Sidewalk with a bike rack and a bench."
5,9,sidewalk,true,"A quiet sidewalk lined with trees."
6,9,sidewalk,true,"A quiet sidewalk lined with trees."
7,9,sidewalk,true,"A quiet sidewalk lined with trees."
8,9,sidewalk,true,"Sidewalk outside a bustling cafe."
9,9,sidewalk,true,"A quiet sidewalk lined with trees."
10,9,sidewalk,true,"Sidewalk with a newspaper stand."
11,9,sidewalk,true,"You are on a busy sidewalk in front of a shop."
12,9,sidewalk,true,"You are on a busy sidewalk in front of a shop."
0,10,sidewalk,true,"Sidewalk with a bike rack and a bench."
1,10,building,true,"A small grocery store packed with goods."
2,10,sidewalk,true,"A quiet sidewalk lined with trees."
3,10,sidewalk,true,"Sidewalk outside a bustling cafe."
4,10,building,true,"A quiet office space with large windows."
5,10,sidewalk,true,"Sidewalk with a bike rack and a bench."
6,10,sidewalk,true,"A quiet sidewalk lined with trees."
7,10,building,true,"A small grocery store packed with goods."
8,10,sidewalk,true,"Sidewalk with a bike rack and a bench."
9,10,sidewalk,true,"You are on a busy sidewalk in front of a shop."
10,10,building,true,"A lively coffee shop with people chatting."
11,10,sidewalk,true,"Sidewalk outside a bustling cafe."
12,10,sidewalk,true,"Sidewalk with a bike rack and a bench."
0,11,sidewalk,true,"You are on a busy sidewalk in front of a shop."
1,11,sidewalk,true,"A quiet sidewalk lined with trees."
2,11,sidewalk,true,"You are on a busy sidewalk in front of a shop."
3,11,sidewalk,true,"Sidewalk outside a bustling cafe."
4,11,sidewalk,true,"You are on a busy sidewalk in front of a shop."
5,11,sidewalk,true,"You are on a busy sidewalk in front of a shop."
6,11,sidewalk,true,"Sidewalk with a bike rack and a bench."
7,11,sidewalk,true,"A quiet sidewalk lined with trees."
8,11,sidewalk,true,"Sidewalk outside a bustling cafe."
9,11,sidewalk,true,"Sidewalk outside a bustling cafe."
10,11,sidewalk,true,"A quiet sidewalk lined with trees."
11,11,sidewalk,true,"You are on a busy sidewalk in front of a shop."
12,11,sidewalk,true,"Sidewalk outside a bustling cafe."
0,12,sidewalk,true,"Sidewalk with a bike rack and a bench."
1,12,sidewalk,true,"Sidewalk with a newspaper stand."
2,12,sidewalk,true,"Sidewalk with a newspaper stand."
3,12,sidewalk,true,"Sidewalk with a bike rack and a bench."
4,12,sidewalk,true,"Sidewalk with a newspaper stand."
5,12,sidewalk,true,"You are on a busy sidewalk in front of a shop."
6,12,sidewalk,true,"Sidewalk with a newspaper stand."
7,12,sidewalk,true,"Sidewalk with a newspaper stand."
8,12,sidewalk,true,"A quiet sidewalk lined with trees."
9,12,sidewalk,true,"Sidewalk with a bike rack and a bench."
10,12,sidewalk,true,"Sidewalk outside a bustling cafe."
11,12,sidewalk,true,"You are on a busy sidewalk in front of a shop."
12,12,sidewalk,true,"Sidewalk with a newspaper stand."
