x,y,type,walkable,description
0,0,sidewalk,true,"Sidewalk with a newspaper stand."
1,0,sidewalk,true,"Sidewalk with a bike rack and a bench."
2,0,sidewalk,true,"Sidewalk with a newspaper stand."
3,0,street,true,"A busy avenue with traffic lights."
4,0,sidewalk,true,"You are on a busy sidewalk in front of a shop."
5,0,sidewalk,true,"Sidewalk outside a bustling cafe."
6,0,sidewalk,true,"A quiet sidewalk lined with trees."
7,0,street,true,"A street with a crosswalk and traffic signs."
8,0,sidewalk,true,"Sidewalk with a bike rack and a bench."
9,0,sidewalk,true,"Sidewalk with a bike rack and a bench."
10,0,sidewalk,true,"A quiet sidewalk lined with trees."
11,0,street,true,"A two-lane street with cars passing by."
12,0,sidewalk,true,"Sidewalk outside a bustling cafe."
0,1,sidewalk,true,"Sidewalk with a newspaper stand."
2,1,sidewalk,true,"You are on a busy sidewalk in front of a shop."
3,1,street,true,"A street with a crosswalk and traffic signs."
4,1,sidewalk,true,"You are on a busy sidewalk in front of a shop."
6,1,sidewalk,true,"Sidewalk with a newspaper stand."
7,1,street,true,"A two-lane street with cars passing by."
8,1,sidewalk,true,"Sidewalk with a newspaper stand."
10,1,sidewalk,true,"Sidewalk outside a bustling cafe."
11,1,street,true,"A busy avenue with traffic lights."
12,1,sidewalk,true,"Sidewalk outside a bustling cafe."
0,2,sidewalk,true,"Sidewalk outside a bustling cafe."
1,2,sidewalk,true,"Sidewalk outside a bustling cafe."
2,2,sidewalk,true,"Sidewalk with a newspaper stand."
3,2,street,true,"A quiet residential street."
4,2,sidewalk,true,"You are on a busy sidewalk in front of a shop."
5,2,sidewalk,true,"Sidewalk outside a bustling cafe."
6,2,sidewalk,true,"Sidewalk with a newspaper stand."
7,2,street,true,"A street with a crosswalk and traffic signs."
8,2,sidewalk,true,"Sidewalk with a newspaper stand."
9,2,sidewalk,true,"A quiet sidewalk lined with trees."
10,2,sidewalk,true,"You are on a busy sidewalk in front of a shop."
11,2,street,true,"A street with a crosswalk and traffic signs."
12,2,sidewalk,true,"You are on a busy sidewalk in front of a shop."
