x,y,biome,description
0,0,"Residential","Front yard of a single-family home, featuring a small flower bed with colorful petunias and a white picket fence. A bicycle leans against the gate, and a wind chime rings softly in the breeze."
0,1,"Residential","Sidewalk lined with neat hedges and a stone path leading to the front door of a charming two-story house. A couple of garden gnomes peek out from the bushes, while a tabby cat lounges lazily on the porch steps."
0,2,"Residential","Driveway of a single-family home, with a parked sedan and a basketball hoop mounted on the garage. A few scattered leaves swirl in the wind, and the sound of children playing can be heard from nearby."
0,3,"Residential","Backyard of a single-family home, filled with a wooden swing set and a small vegetable garden brimming with zucchini and peppers. The scent of freshly cut grass fills the air, and a dog barks playfully in the distance."
0,4,"Residential","Narrow pathway leading to the entrance of another single-family home, adorned with climbing ivy and decorative lanterns. A colorful welcome mat sits at the door, and a sprinkler system quietly waters the lawn."
0,5,"Residential","Front porch of a cozy house, complete with a rocking chair and potted plants. A newspaper lies on the welcome mat, and the faint sound of a guitar can be heard from inside the house."
0,6,"Commercial","Outdoor seating area of a small café, with wrought-iron tables and chairs under colorful umbrellas. The aroma of freshly brewed coffee wafts through the air, while customers chat or work on laptops with pastries in front of them."
0,7,"Commercial","Display windows of a boutique shop, showcasing vibrant clothing and accessories. A small chalkboard sign outside lists the daily specials, and a friendly shopkeeper waves at passersby."
0,8,"Commercial","Entrance to a small bookstore, with a wooden door partly open and a welcome bell jingling. Stacks of books are displayed on the sidewalk, and a cozy reading nook is visible through the window."
0,9,"Commercial","Corner of the street where a food truck serves tacos, with a line of eager customers waiting. Colorful decorations hang from the truck, and the sound of lively music adds to the vibrant atmosphere."
1,0,"Residential","Paved driveway leading up to a freshly painted bungalow, with a small porch adorned by potted herbs. The sound of laughter from a nearby backyard echoes softly."
1,1,"Residential","Neatly trimmed lawn of a single-family home, with a children's swing set and a colorful jungle gym. A few kids are playing tag, creating bursts of joyful laughter."
1,2,"Residential","Side of a single-family home with a chain-link fence, where climbing roses add a splash of color. A small dog barks from the backyard, and a squirrel scampers up a nearby tree."
1,3,"Residential","Front entry of a craftsman-style home, with a wooden porch swing and a decorative wreath on the door. The lawn is dotted with dandelions, and bees buzz around the flowering plants."
1,4,"Residential","Backyard enclosed by a tall fence, featuring a small koi pond and a wooden deck with lounge chairs. The soft sound of water trickling adds to the serene environment."
1,5,"Residential","Front garden of a charming home, filled with lavender and marigolds, creating a pleasant aroma. A small fountain trickles gently, attracting birds that chirp nearby."
1,6,"Commercial","Cozy interior of a café with vintage decor, where patrons sip coffee and chat. The barista is busy preparing drinks behind a counter lined with baked goods."
1,7,"Commercial","Outdoor display of a flower shop, with vibrant bouquets arranged for passersby. The sweet fragrance of fresh blooms fills the air, alongside the sounds of light chatter."
1,8,"Commercial","Entrance to a small thrift store, with a colorful sign hanging above. An assortment of second-hand items is visible through the window, enticing customers to browse."
1,9,"Commercial","Front of a boutique, where a mannequin displays the latest fashion. A friendly staff member stands outside, ready to greet potential shoppers with a warm smile."
2,0,"Residential","Well-kept front yard of a single-family home, featuring a white swing and a lush green lawn. A small stone path leads to the entrance, bordered by colorful flower beds."
2,1,"Residential","Side garden of a home with sunflowers swaying in the breeze and a small picnic table. The sound of birds chirping fills the air, complementing the serene ambiance."
2,2,"Residential","Driveway leading to a garage, with a well-maintained car parked under a shaded tree. A few garden tools are leaned against the side of the house."
2,3,"Residential","Backyard enclosed by a wooden fence, featuring a small vegetable patch and a hammock tied between two trees. The scent of ripe tomatoes wafts in the air."
2,4,"Residential","Pathway leading to the entrance of a home, accentuated by hanging flower baskets and a small water feature that creates a soothing sound."
2,5,"Residential","Front yard of a single-family home, where colorful flowerbeds burst with zinnias and petunias. A wooden bench sits in the shade of a cherry tree, inviting neighbors to pause and chat."
2,6,"Commercial","Facade of a quirky bookstore, its windows adorned with hand-painted signs announcing the latest reads. A small chalkboard outside displays special offers, while the scent of fresh coffee wafts from within."
2,7,"Commercial","Sidewalk cafe area with mismatched tables and chairs, where a couple enjoys pastries under bright umbrellas. The sound of clinking cups mingles with upbeat music spilling from inside the café."
2,8,"Commercial","Entrance to a vintage clothing shop, with a colorful assortment of retro garments displayed on racks. A large, inviting sign hangs above, and a friendly shopkeeper waves to passing pedestrians."
2,9,"Commercial","Front of a trendy juice bar, where vibrant fruits are displayed in a glass case. The air is filled with the sweet and tangy scent of fresh juice being blended, and a chalkboard lists the daily specials."
3,0,"Residential","Neatly trimmed hedge borders the front yard, showcasing a collection of potted herbs beside a stone path leading to the entrance. A small dog barks playfully from the porch."
3,1,"Residential","Charming front porch adorned with hanging ferns and a welcome mat. A wooden rocking chair creaks gently in the breeze, while the sound of children laughing echoes from nearby yards."
3,2,"Residential","Backyard visible over a low fence, where kids play on a swing set. Lush grass and a small sandbox invite laughter and joy, as a friendly cat lounges in the sun."
3,3,"Residential","Pathway leading to a cozy front door, flanked by large flower pots filled with cheerful daisies. The soft sound of wind chimes tinkles from above the entrance."
3,4,"Residential","Grassy lawn bordered by a low picket fence, where a small garden of marigolds adds vibrant color. A wooden swing hangs from a tree branch, swaying gently in the afternoon breeze."
3,5,"Residential","Patio area with string lights overhead, creating a warm ambiance for evening gatherings. A fire pit is surrounded by Adirondack chairs, inviting friends to gather for s'mores."
