x,y,type,walkable,biome,blockId,description
0,0,sidewalk,true,residential,0,"Sidewalk with a bike rack and a bench."
1,0,sidewalk,true,residential,0,"Sidewalk with a bike rack and a bench."
2,0,sidewalk,true,residential,0,"A quiet sidewalk lined with trees."
0,1,sidewalk,true,residential,0,"Sidewalk with a bike rack and a bench."
1,1,building,false,residential,0,"A small grocery store packed with goods."
2,1,sidewalk,true,residential,0,"Sidewalk with a newspaper stand."
0,2,sidewalk,true,residential,0,"A quiet sidewalk lined with trees."
1,2,sidewalk,true,residential,0,"Sidewalk outside a bustling cafe."
2,2,sidewalk,true,residential,0,"Sidewalk with a newspaper stand."
3,0,sidewalk,true,commercial,1,"Sidewalk outside a bustling cafe."
4,0,sidewalk,true,commercial,1,"You are on a busy sidewalk in front of a shop."
5,0,sidewalk,true,commercial,1,"You are on a busy sidewalk in front of a shop."
3,1,sidewalk,true,commercial,1,"Sidewalk outside a bustling cafe."
4,1,building,false,commercial,1,"A quiet office space with large windows."
5,1,sidewalk,true,commercial,1,"You are on a busy sidewalk in front of a shop."
3,2,sidewalk,true,commercial,1,"Sidewalk outside a bustling cafe."
4,2,sidewalk,true,commercial,1,"You are on a busy sidewalk in front of a shop."
5,2,sidewalk,true,commercial,1,"Sidewalk with a newspaper stand."
6,0,sidewalk,true,park,2,"You are on a busy sidewalk in front of a shop."
7,0,sidewalk,true,park,2,"Sidewalk with a newspaper stand."
8,0,sidewalk,true,park,2,"Sidewalk with a newspaper stand."
6,1,sidewalk,true,park,2,"Sidewalk with a newspaper stand."
7,1,building,false,park,2,"A small grocery store packed with goods."
8,1,sidewalk,true,park,2,"A quiet sidewalk lined with trees."
6,2,sidewalk,true,park,2,"You are on a busy sidewalk in front of a shop."
7,2,sidewalk,true,park,2,"Sidewalk outside a bustling cafe."
8,2,sidewalk,true,park,2,"Sidewalk with a newspaper stand."
9,0,sidewalk,true,downtown,3,"You are on a busy sidewalk in front of a shop."
10,0,sidewalk,true,downtown,3,"You are on a busy sidewalk in front of a shop."
11,0,sidewalk,true,downtown,3,"Sidewalk outside a bustling cafe."
9,1,sidewalk,true,downtown,3,"Sidewalk with a bike rack and a bench."
10,1,building,false,downtown,3,"A cozy bakery with the smell of fresh bread."
11,1,sidewalk,true,downtown,3,"Sidewalk with a bike rack and a bench."
9,2,sidewalk,true,downtown,3,"Sidewalk outside a bustling cafe."
10,2,sidewalk,true,downtown,3,"Sidewalk with a bike rack and a bench."
11,2,sidewalk,true,downtown,3,"Sidewalk with a bike rack and a bench."
12,0,sidewalk,true,industrial,4,"Sidewalk with a newspaper stand."
13,0,sidewalk,true,industrial,4,"Sidewalk with a newspaper stand."
14,0,sidewalk,true,industrial,4,"Sidewalk outside a bustling cafe."
12,1,sidewalk,true,industrial,4,"Sidewalk with a bike rack and a bench."
